date,year,month,month_name,day,date_key
2018-02-05,2018,2,February,5,176
2017-11-16,2017,11,November,16,177
2018-01-31,2018,1,January,31,178
2018-01-11,2018,1,January,11,179
2017-06-04,2017,6,June,4,180
2017-07-17,2017,7,July,17,181
2018-04-17,2018,4,April,17,182
2017-12-11,2017,12,December,11,183
2018-05-04,2018,5,May,4,184
2017-12-17,2017,12,December,17,185
2018-03-18,2018,3,March,18,186
2017-01-05,2017,1,January,5,187
2017-12-24,2017,12,December,24,188
2017-11-29,2017,11,November,29,189
2018-04-03,2018,4,April,3,190
2018-01-25,2018,1,January,25,191
2018-06-16,2018,6,June,16,192
2017-07-02,2017,7,July,2,193
2018-01-16,2018,1,January,16,194
2018-02-22,2018,2,February,22,195
2018-03-30,2018,3,March,30,196
2017-02-12,2017,2,February,12,197
2018-06-06,2018,6,June,6,198
2017-02-08,2017,2,February,8,199
2018-06-30,2018,6,June,30,200
2017-10-05,2017,10,October,5,201
2018-04-10,2018,4,April,10,202
2018-02-08,2018,2,February,8,203
2018-07-12,2018,7,July,12,204
2018-02-11,2018,2,February,11,205
2018-03-17,2018,3,March,17,206
2018-05-07,2018,5,May,7,207
2018-01-24,2018,1,January,24,208
2018-06-09,2018,6,June,9,209
2017-11-11,2017,11,November,11,210
2018-06-28,2018,6,June,28,211
2017-11-13,2017,11,November,13,212
2018-01-12,2018,1,January,12,213
2017-07-24,2017,7,July,24,214
2017-06-29,2017,6,June,29,215
2018-01-19,2018,1,January,19,216
2018-03-27,2018,3,March,27,217
2017-01-21,2017,1,January,21,218
2017-12-07,2017,12,December,7,219
2018-06-12,2018,6,June,12,220
2018-07-03,2018,7,July,3,221
2017-05-23,2017,5,May,23,222
2018-01-14,2018,1,January,14,223
2017-08-23,2017,8,August,23,224
2017-09-10,2017,9,September,10,225
2018-08-21,2018,8,August,21,226
2018-05-27,2018,5,May,27,227
2017-05-20,2017,5,May,20,228
2016-10-05,2016,10,October,5,229
2017-07-28,2017,7,July,28,230
2017-12-05,2017,12,December,5,231
2018-02-09,2018,2,February,9,232
2018-08-02,2018,8,August,2,233
2018-01-05,2018,1,January,5,234
2017-12-01,2017,12,December,1,235
2017-05-26,2017,5,May,26,236
